ID	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29
miR-100	233	169	686	351	54	12	41	425	17	429	88	304	537	819	9	969	1337	1122	902	1695	5285	2893	364	268	648	6560	918	226	1152	41	945	59	7	17	4	13	2	33	40	5	718	6	282	114	6	232	16	821	1	1373	3	893	7	22	1593	511	5	65
miR-100*	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	2	7	0	0	0	3	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0
miR-101	159	270	809	807	162	76	13	356	147	383	586	1462	317	522	17	573	2641	1622	1783	1120	1110	2397	547	137	30	4219	817	93	22	254	652	382	156	588	11	533	1	50	41	35	604	19	1565	137	5	283	26	580	11	2134	7	629	17	348	300	299	6	12
miR-101*	3	9	33	26	7	11	0	6	3	7	4	37	23	12	0	32	78	35	29	59	14	105	10	15	5	81	21	5	0	8	16	3	2	2	1	4	0	0	2	0	5	1	19	5	0	4	0	9	0	48	2	8	0	12	3	0	0	0
miR-103	7	20	33	51	63	8	0	129	138	127	46	100	6	2	4	13	17	95	20	32	29	19	218	55	3	51	11	12	1	114	120	59	81	87	2	86	6	81	28	2	46	10	57	24	12	90	8	63	3	92	1	199	0	181	21	123	0	0
miR-105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
miR-105*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	2	0	0	1	0
miR-106a	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	47	5	15	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	3	0	55	9	6	0	0
miR-106a*	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	2	2	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	2	0	0
miR-106b	8	20	16	68	8	1	1	38	88	66	51	105	43	65	6	78	198	288	338	64	113	120	47	24	2	495	108	21	1	28	142	61	22	67	0	35	0	53	3	3	51	5	1293	29	6	141	7	172	0	739	2	274	0	67	227	212	3	2
miR-106b*	2	5	9	7	0	1	0	25	17	23	12	17	26	6	6	32	42	53	38	33	9	45	23	18	1	44	14	13	1	289	13	9	3	4	1	12	1	7	3	1	13	1	229	20	3	20	2	33	1	84	1	20	1	25	19	31	6	0
miR-107	35	41	63	68	56	4	3	67	398	54	62	70	28	141	25	22	32	56	41	34	305	46	117	59	13	133	65	65	3	73	215	72	105	42	1	157	2	592	16	17	253	4	57	51	9	264	68	410	0	55	2	332	5	94	590	226	3	5
miR-10a	56	32	104	489	19	7	1	670	49	437	69	488	232	206	12	1095	702	1084	860	376	3639	1179	630	19	9	4055	1306	357	0	0	564	145	9	120	12	125	3	23	84	9	135	89	952	618	10	96	19	1111	2	1558	8	259	1	82	131	317	3	15
miR-10a*	0	0	8	6	2	2	0	145	2	48	1	15	37	4	3	160	34	32	19	64	34	228	22	5	0	42	32	84	0	2	3	2	1	3	0	1	0	0	1	0	7	2	14	7	1	3	0	17	0	31	0	0	1	0	2	4	0	0
miR-10b	101	77	203	2066	69	20	2	170	46	791	892	2390	951	501	6	3147	3648	2455	6062	1894	5361	5149	701	376	24	3569	815	159	19	22	536	45	16	81	19	46	2	27	23	21	187	42	1345	184	7	137	14	497	5	1408	5	236	7	387	58	425	5	1
miR-10b*	0	3	14	5	12	1	0	78	1	219	7	50	326	13	3	660	74	25	64	548	31	892	28	203	31	45	18	66	0	0	1	0	0	0	0	1	0	0	0	1	1	1	9	1	0	8	0	2	0	11	0	2	0	4	0	2	0	0
miR-122	0	0	0	0	0	0	0	1	3	1	1	2	1	23	0	0	3	1	2	1	7	6	0	0	0	1	1	1	0	1	5	0	0	0	0	0	0	5	0	0	55	1	11	0	0	2	14	0	0	3	0	12	1	7	28	8	0	0
miR-122*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-1224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
miR-1224-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	11	0	7	0	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	43	0	0	0	0
miR-1225-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-1225-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-1226	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	1	3	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-1227	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	3	0	1	0	1	0	0	0	2	0	0
miR-1228	0	0	0	1	1	0	0	1	1	1	0	0	1	2	0	0	4	9	2	3	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	17	1	0	5	0	7	0	16	0	3	1	0	2	2	0	0
miR-1228*	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	4	6	15	1	1	0	0	0	0	5	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	3	12	0	0	0	0	4	3	10	0	3	0	4	3	3	3	0
miR-1229	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
miR-1233	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
miR-1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
miR-1237	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	9	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0
miR-124	1	3	0	0	0	0	0	0	0	27	1	0	1	2	0	0	24	8	0	1	5	3	1	0	12	16	0	0	0	8	10	1	0	2	0	3	0	0	0	1	3	0	8	3	0	2	0	14	0	12	0	0	0	685	3	3	0	0
miR-124*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
miR-125a-3p	2	8	5	5	6	0	1	26	0	18	6	22	104	4	0	91	54	25	53	133	11	163	15	23	43	122	5	11	0	2	3	5	0	3	0	1	2	1	2	0	6	2	93	9	1	6	0	7	0	50	0	44	0	23	9	14	0	0
miR-125a-5p	135	426	431	1048	165	79	14	503	61	606	585	2554	1614	97	76	1258	3549	1899	3571	3774	109	3892	1045	385	277	5678	1573	224	20	90	105	61	17	48	15	215	2	20	86	31	138	57	2308	294	8	12	4	43	4	2116	5	83	15	358	19	45	5	1
miR-125b	1038	5007	2595	8036	566	391	94	3990	442	5409	4481	15099	7859	557	195	12838	46295	24676	24188	23106	1617	30072	11698	2113	1981	49460	20860	1828	106	381	1463	201	99	105	126	902	19	101	614	329	2249	206	10374	1299	15	68	26	400	13	10122	6	1134	85	164	101	167	27	1
miR-125b-1*	2	0	5	12	4	0	0	11	0	2	2	7	25	2	0	31	29	35	29	40	11	46	4	7	33	109	10	3	0	0	1	1	0	0	0	0	0	0	1	0	0	1	20	1	0	3	0	0	0	20	0	8	0	1	3	2	0	0
miR-125b-2*	2	2	15	15	5	0	0	11	1	21	8	32	35	10	0	76	116	56	61	115	32	112	17	23	10	89	13	5	0	0	58	0	1	1	0	1	0	1	1	0	24	1	193	6	0	16	0	28	0	30	0	44	1	1	1	4	0	0
miR-126	379	248	1160	3833	691	84	6	1908	439	1471	1395	5222	4558	1209	155	10846	8751	17487	14472	6420	3987	12004	1043	1698	12	8116	2242	799	377	121	1136	460	81	649	37	52	3	160	329	81	1646	101	5443	362	64	800	67	1936	1	9016	8	220	43	245	220	832	18	80
miR-126*	60	34	293	1620	164	30	2	2420	356	1354	1344	3648	3388	842	217	16924	10924	20780	10957	10840	3053	17003	708	2134	9	3952	2576	1438	3	44	551	47	33	48	16	13	3	94	346	98	959	84	3633	459	115	600	53	1739	1	7217	5	71	44	23	81	515	15	0
miR-1271	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-127-3p	15	231	27	158	48	2	3	47	9	139	124	104	133	35	7	226	593	501	730	277	91	232	33	74	278	572	41	14	1	34	126	34	2	42	38	6	11	7	87	14	142	93	953	154	6	45	0	118	15	1352	1	166	13	256	37	109	10	0
miR-127-5p	0	10	2	5	2	0	0	0	0	5	4	1	4	2	1	11	18	22	29	6	4	10	3	4	15	26	0	0	0	3	5	2	0	3	0	0	1	1	1	1	2	4	32	0	0	1	0	3	2	59	0	15	2	23	2	5	0	0
miR-1277	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-128	6	6	9	33	7	2	0	36	11	44	12	35	30	183	5	63	196	153	88	69	1022	89	27	8	1	137	36	20	0	18	579	14	33	16	1	48	1	74	3	6	88	5	476	29	4	386	69	2236	0	503	0	166	0	85	245	624	4	3
miR-129-3p	2	0	1	3	0	0	0	0	0	2	0	7	2	2	0	1	0	0	0	0	2	1	2	10	1	2	0	3	10	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0	1	0	1	1	1	0	12	0	0	0	0
miR-129-5p	0	0	0	6	0	0	0	2	0	1	0	4	10	2	0	123	24	21	8	9	38	7	4	6	5	13	16	12	0	0	2	0	0	0	0	0	0	0	1	0	1	2	16	3	0	4	0	0	0	4	1	1	1	78	0	0	0	0
miR-129*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
miR-130a	144	299	656	1534	300	44	12	727	47	1346	759	6054	11326	1603	36	4245	5124	2257	4581	3947	1051	10086	1093	1415	174	10728	795	508	7	235	1041	369	173	234	42	504	11	159	164	58	2997	202	4617	801	40	169	62	613	58	3499	23	674	72	1267	2563	896	32	0
miR-130a*	0	1	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
miR-130b	3	11	8	24	12	1	1	46	12	83	16	37	139	14	1	104	71	79	219	77	347	92	28	14	8	732	9	33	0	42	92	83	20	74	5	59	6	17	12	1	59	76	1094	145	8	50	5	114	22	640	8	127	9	892	198	101	12	1
miR-130b*	0	1	1	1	0	0	0	7	1	5	2	4	4	5	0	5	20	12	17	8	177	3	4	0	0	41	3	3	4	1	18	4	1	1	0	4	0	16	2	0	11	3	78	7	0	16	7	51	0	55	0	24	1	23	35	20	0	10
miR-132	8	2	13	48	14	2	0	9	2	21	31	31	33	9	1	88	113	192	273	42	47	82	6	8	0	223	27	0	0	6	64	12	6	5	0	11	0	1	1	6	17	5	356	16	1	33	3	64	0	322	1	52	0	6	16	60	1	0
miR-132*	0	3	7	9	2	3	1	12	0	19	8	41	38	10	1	87	72	109	75	58	14	97	4	14	1	81	9	6	0	1	19	9	1	6	0	0	0	1	0	2	27	1	70	2	1	13	0	32	1	72	1	14	0	7	11	13	0	0
miR-133a	10	37	38	14	15	3	1	6	0	9	26	17	16	10	201	20	24	22	21	13	1	6	11	8	0	29	9	3	0	2	2	0	0	0	1	0	0	3	2	8	0	6	2	0	1	0	0	0	1	10	0	2	0	5	1	3	0	0
miR-133b	1	14	15	10	11	2	0	6	0	3	10	17	5	13	137	3	5	18	5	5	0	6	3	11	0	7	2	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	2	0	1	0	2	0	0	0	1	0	1
miR-134	0	9	2	0	6	0	0	1	0	4	4	3	5	3	0	5	21	11	24	8	3	5	2	2	12	15	1	0	0	1	4	1	0	0	0	0	0	1	0	1	7	1	24	0	0	8	0	7	1	21	0	16	0	4	3	10	0	0
miR-135a	0	8	0	3	0	12	0	187	2	32	4	0	3	2	0	1	3	151	3	9	1057	91	287	0	0	770	408	289	0	6	14	0	1	2	0	1	0	0	0	0	0	1	73	5	1	2	0	4	0	58	0	21	0	12	6	12	0	38
miR-135a*	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	4	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0
miR-135b	2	2	0	2	0	2	0	71	4	25	1	6	1	1	0	0	13	6	8	28	144	64	67	1	0	136	123	46	0	120	563	12	12	59	0	15	0	43	3	0	20	5	799	42	1	31	11	118	1	749	0	84	0	28	139	535	1	1
miR-135b*	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0
miR-136	3	74	5	72	32	2	1	20	6	50	25	76	30	28	1	84	212	231	338	87	50	137	12	38	19	352	40	13	21	12	70	12	1	24	2	1	0	4	7	6	109	16	530	53	1	23	2	56	2	1236	0	94	1	75	14	46	1	0
miR-136*	1	5	4	9	2	0	0	8	0	3	5	18	6	5	1	35	157	86	43	23	23	26	5	5	3	28	8	2	13	1	11	5	3	2	3	1	1	2	11	0	19	3	33	5	0	17	0	21	1	54	0	6	1	7	3	5	1	0
miR-137	0	0	0	1	0	0	0	1	0	2	5	0	0	0	0	0	3	0	1	0	0	1	0	0	0	3	0	0	0	2	1	0	0	3	0	4	0	0	0	0	3	0	8	0	0	0	0	0	0	16	0	0	0	15	0	4	0	0
miR-138	1	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	1	1	1	1	0	5	0	0	3	0	1	0	0	1	2	1	2	0	3	1	0	0	0	1	0	12	0	0	1	0	1	0	11	0	4	0	4	2	6	0	0
miR-138-1*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0
miR-139-3p	0	8	2	11	0	0	1	1	1	0	2	8	8	3	1	19	0	34	41	3	11	5	1	3	2	135	12	1	0	0	3	0	0	0	0	1	0	0	1	0	0	1	8	0	0	0	0	0	0	10	0	0	0	31	0	0	0	0
miR-139-5p	10	12	13	49	9	0	0	7	12	9	30	51	33	80	3	85	73	141	266	34	112	39	13	12	1	379	33	6	1	0	19	0	0	0	0	0	0	1	8	0	34	3	38	7	1	5	0	29	0	41	0	3	7	40	7	6	0	0
miR-140-3p	40	45	252	181	101	21	5	164	15	104	53	164	257	58	5	289	286	186	638	297	155	583	58	37	48	1399	102	26	68	12	213	35	10	37	5	107	0	10	13	5	42	3	421	16	0	30	1	162	2	884	0	167	2	45	56	114	3	17
miR-140-5p	30	79	132	324	102	53	3	157	14	213	245	297	302	79	8	1421	1189	551	1204	681	247	1824	84	276	47	1470	226	55	18	29	92	12	26	11	2	24	1	4	20	15	71	7	326	18	3	126	3	93	8	581	1	177	1	21	36	50	1	0
miR-141	0	2	3	0	5	16	4	495	38	165	2	0	4	14	0	5	11	29	31	44	1276	212	400	1	3	1287	356	331	0	206	925	312	200	1292	7	468	12	429	13	2	142	23	5576	149	48	447	62	351	4	2039	5	567	1	0	708	1344	11	3
miR-141*	0	0	0	0	0	1	0	7	0	5	0	0	0	1	0	0	0	0	0	2	74	4	7	0	0	10	7	4	0	7	67	2	9	13	0	16	0	6	0	0	6	1	209	8	3	86	6	80	0	43	1	32	0	0	48	135	0	30
miR-142-3p	4	35	90	300	164	33	8	93	119	88	154	121	36	106	11	167	399	1137	783	172	517	121	179	32	4	997	231	38	14	318	2015	411	588	209	10	4047	0	244	41	73	1290	21	3348	197	21	3167	148	7640	19	5334	6	1968	4	247	1132	2339	20	89
miR-142-5p	5	17	28	99	28	4	1	422	330	176	23	121	107	65	51	415	706	2196	593	797	159	344	250	64	2	611	365	227	16	17	623	2810	42	1330	56	141	55	95	592	50	551	126	2899	1299	594	3641	130	5939	33	8665	78	796	63	853	311	602	1046	21
miR-143	6356	11170	11547	51377	17214	2433	298	22869	1403	17153	24433	109216	72831	52359	872	162350	407388	233496	290717	78022	26392	73704	17762	26740	793	376078	28210	6252	42	2095	6554	935	309	971	263	313	46	710	1067	1658	15690	737	16974	814	353	5517	575	6716	305	38740	48	9774	246	1496	5335	5253	97	5
miR-143*	4	5	24	115	104	14	3	13	0	8	11	26	17	19	0	7	20	19	65	14	35	36	6	20	2	83	3	3	0	20	15	1	6	1	0	17	0	0	2	1	8	3	44	4	0	0	3	7	0	64	0	24	0	15	10	8	1	0
miR-144	55	42	355	196	86	69	7	279	4963	41	24	285	203	1552	364	313	341	2843	2609	268	454	66	947	24	11	2273	756	417	0	101	13	50	197	30	3	96	1	388	10	8	273	11	3058	7	56	146	191	284	1	623	4	48	2	3	297	172	0	1
miR-144*	0	0	8	3	0	2	0	2	10	0	0	2	3	3	0	1	0	2	4	2	5	0	6	0	0	6	4	1	0	8	0	2	2	1	0	2	0	3	0	0	0	1	18	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0
miR-145	413	1121	1330	3504	961	167	39	3907	135	2814	2211	9455	8498	359582	71	15128	18417	18860	12949	20416	172452	22040	1446	5352	329	32968	3618	2080	1	2872	38261	115	904	169	73	1525	32	8908	316	212	95140	349	10399	1328	138	29190	3376	102675	137	13935	26	38519	98	2303	23904	55799	100	5
miR-145*	29	100	113	302	73	19	2	508	13	396	222	952	750	1401	9	2196	5153	2392	2111	1664	888	1090	265	318	6	1847	414	147	5	16	230	3	9	3	2	11	1	24	22	28	458	7	248	13	5	135	12	242	6	533	1	143	5	19	55	145	1	0
miR-146a	4	13	21	1	21	2	0	10	3	7	6	18	24	3	2	37	37	98	76	70	24	44	35	10	6	260	34	6	0	88	15	78	50	25	1	237	1	15	8	5	57	19	676	30	3	468	13	649	6	865	0	283	2	54	203	248	4	12
miR-146a*	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	10	0	0	0	0	0	1	0	0
miR-146b-3p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	1	0	5	0	0	0	0	1	0	0	0
miR-146b-5p	0	2	3	4	10	8	1	7	2	11	11	14	3	0	0	21	42	278	101	51	41	59	41	0	5	342	36	5	1	26	32	53	12	31	0	63	0	8	2	2	27	5	626	24	2	130	7	442	0	1020	1	146	2	35	90	182	1	17
miR-147b	2	1	0	0	0	0	0	6	1	1	0	2	0	4	0	3	3	5	1	5	3	2	0	0	3	18	2	2	0	3	35	50	2	26	0	91	4	18	0	0	5	26	309	24	3	27	0	31	4	106	7	20	0	18	31	6	8	0
miR-148a	6	25	7	62	11	3	2	65	7	35	81	25	11	8	0	40	92	129	187	112	214	169	20	6	6	585	111	42	6	21	152	56	47	24	1	56	1	6	5	9	31	5	1110	37	1	134	7	885	2	2151	1	204	3	10	77	69	6	5
miR-148a*	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	4	2	0	3	2	1	1	0	1	3	1	1	0	1	1	0	0	0	0	0	0	0	0	0	4	1	10	1	2	7	0	14	0	7	0	7	0	0	2	3	0	0
miR-148b	2	24	9	67	25	4	0	20	13	29	45	42	15	6	1	55	114	110	271	38	77	55	20	15	3	362	55	12	2	2	65	5	14	14	0	5	0	4	1	6	18	0	336	19	0	32	1	81	0	312	0	57	1	19	29	21	1	0
miR-148b*	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0
miR-149	4	8	5	10	1	0	0	13	1	11	4	30	19	40	1	42	48	49	47	51	101	28	11	10	4	54	15	12	3	3	159	0	4	0	0	80	0	15	2	4	115	6	557	16	2	138	2	117	1	212	3	34	0	26	93	181	1	8
